변환,경제성장률
1979/10,-0.5063333333333333
1979/11,-1.0126666666666666
1979/12,-1.519
1980/01,0.29533333333333334
1980/02,0.5906666666666667
1980/03,0.886
1980/04,-0.18000000000000002
1980/05,-0.36000000000000004
1980/06,-0.54
1980/07,0.631
1980/08,1.262
1980/09,1.893
1980/10,-0.922
1980/11,-1.844
1980/12,-2.766
1981/01,1.3716666666666668
1981/02,2.7433333333333336
1981/03,4.115
1981/04,0.8053333333333333
1981/05,1.6106666666666667
1981/06,2.416
1981/07,1.3876666666666668
1981/08,2.7753333333333337
1981/09,4.163
1981/10,0.523
1981/11,1.046
1981/12,1.569
1982/01,0.22633333333333336
1982/02,0.4526666666666667
1982/03,0.679
1982/04,0.7826666666666666
1982/05,1.5653333333333332
1982/06,2.348
1982/07,0.6913333333333332
