,변환,소비자물가지수(CPI)_변동률
468,2004/01,0.6
469,2004/02,0.4
470,2004/03,1.0
471,2004/04,0.0
472,2004/05,-0.1
473,2004/06,0.0
474,2004/07,0.6
475,2004/08,0.9
476,2004/09,0.0
477,2004/10,0.0
478,2004/11,-0.6
479,2004/12,0.2
480,2005/01,1.0
481,2005/02,0.4
482,2005/03,0.6
483,2005/04,0.1
484,2005/05,-0.1
485,2005/06,-0.3
486,2005/07,0.4
487,2005/08,0.3
488,2005/09,0.5
489,2005/10,-0.2
490,2005/11,-0.4
491,2005/12,0.3
492,2006/01,0.6
493,2006/02,0.2
494,2006/03,0.6
495,2006/04,0.1
496,2006/05,0.2
497,2006/06,-0.2
498,2006/07,0.4
499,2006/08,0.6
500,2006/09,0.3
501,2006/10,-0.5
502,2006/11,-0.5
503,2006/12,0.3
504,2007/01,0.2
505,2007/02,0.7
506,2007/03,0.6
507,2007/04,0.4
508,2007/05,0.1
509,2007/06,0.0
510,2007/07,0.4
511,2007/08,0.1
512,2007/09,0.6
513,2007/10,0.2
514,2007/11,0.0
515,2007/12,0.4
516,2008/01,0.5
517,2008/02,0.4
518,2008/03,0.9
519,2008/04,0.6
520,2008/05,0.8
521,2008/06,0.6
522,2008/07,0.7
523,2008/08,-0.2
524,2008/09,0.1
525,2008/10,-0.1
526,2008/11,-0.3
527,2008/12,0.0
528,2009/01,0.1
529,2009/02,0.7
530,2009/03,0.7
531,2009/04,0.3
532,2009/05,0.0
533,2009/06,-0.1
534,2009/07,0.4
535,2009/08,0.4
536,2009/09,0.1
537,2009/10,-0.3
538,2009/11,0.2
539,2009/12,0.4
540,2010/01,0.8
541,2010/02,0.2
542,2010/03,0.2
543,2010/04,0.4
544,2010/05,0.1
545,2010/06,-0.1
546,2010/07,0.2
547,2010/08,0.5
548,2010/09,0.8
549,2010/10,0.0
550,2010/11,-0.5
551,2010/12,0.4
552,2011/01,1.2
553,2011/02,0.7
554,2011/03,0.4
555,2011/04,0.1
556,2011/05,0.2
557,2011/06,0.2
558,2011/07,0.5
559,2011/08,0.7
560,2011/09,-0.1
561,2011/10,-0.2
562,2011/11,0.1
563,2011/12,0.4
564,2012/01,0.4
565,2012/02,0.4
566,2012/03,0.0
567,2012/04,0.0
568,2012/05,0.2
569,2012/06,-0.1
570,2012/07,-0.2
571,2012/08,0.5
572,2012/09,0.7
573,2012/10,-0.2
574,2012/11,-0.4
575,2012/12,0.2
576,2013/01,0.6
577,2013/02,0.3
578,2013/03,-0.1
579,2013/04,-0.1
580,2013/05,0.0
581,2013/06,-0.1
582,2013/07,0.2
583,2013/08,0.4
584,2013/09,0.2
585,2013/10,-0.3
586,2013/11,0.0
587,2013/12,0.1
588,2014/01,0.5
589,2014/02,0.3
590,2014/03,0.2
591,2014/04,0.1
592,2014/05,0.2
593,2014/06,-0.1
594,2014/07,0.1
595,2014/08,0.2
596,2014/09,-0.1
597,2014/10,-0.3
598,2014/11,-0.2
599,2014/12,0.0
600,2015/01,0.7
601,2015/02,-0.1
602,2015/03,0.0
603,2015/04,0.0
604,2015/05,0.3
605,2015/06,0.0
606,2015/07,0.2
607,2015/08,0.1
608,2015/09,-0.3
609,2015/10,0.0
610,2015/11,-0.2
611,2015/12,0.3
612,2016/01,0.2
613,2016/02,0.4
614,2016/03,-0.3
615,2016/04,0.2
616,2016/05,0.1
617,2016/06,0.0
618,2016/07,-0.2
619,2016/08,0.3
620,2016/09,0.6
621,2016/10,0.1
622,2016/11,-0.1
623,2016/12,0.1
624,2017/01,1.1
625,2017/02,0.3
626,2017/03,-0.1
627,2017/04,-0.1
628,2017/05,0.1
629,2017/06,-0.2
630,2017/07,0.2
631,2017/08,0.6
632,2017/09,0.1
633,2017/10,-0.1
634,2017/11,-0.7
635,2017/12,0.4
636,2018/01,0.4
637,2018/02,0.8
638,2018/03,-0.1
639,2018/04,0.2
640,2018/05,0.0
641,2018/06,-0.2
642,2018/07,-0.2
643,2018/08,0.9
644,2018/09,0.8
645,2018/10,-0.2
646,2018/11,-0.7
647,2018/12,-0.3
648,2019/01,-0.1
649,2019/02,0.4
650,2019/03,-0.2
651,2019/04,0.4
652,2019/05,0.2
653,2019/06,-0.2
654,2019/07,-0.3
655,2019/08,0.2
656,2019/09,0.4
657,2019/10,0.2
658,2019/11,-0.6
659,2019/12,0.2
660,2020/01,0.4
661,2020/02,0.1
662,2020/03,-0.2
663,2020/04,-0.4
664,2020/05,-0.1
