변환,원유_변동률
2008/01,1.0000000000000002
2008/02,2.9333333333333336
2008/03,8.833333333333334
2008/04,7.0
2008/05,13.133333333333333
2008/06,7.1000000000000005
2008/07,0.7000000000000001
2008/08,-13.700000000000001
2008/09,-12.733333333333334
2008/10,-28.0
2008/11,-26.066666666666666
2008/12,-24.26666666666667
2009/01,6.666666666666667
2009/02,-3.466666666666667
2009/03,12.533333333333333
2009/04,7.233333333333333
2009/05,16.63333333333333
2009/06,18.400000000000002
2009/07,-5.533333333333334
2009/08,10.666666666666666
2009/09,-5.066666666666666
2009/10,8.600000000000001
2009/11,4.5
2009/12,-3.4333333333333336
2010/01,3.233333333333333
2010/02,-3.1666666666666665
2010/03,6.7
2010/04,5.8999999999999995
2010/05,-10.6
2010/06,-0.5666666666666667
2010/07,-0.16666666666666663
