,변환,환율 변동율
384,1996/05,0.0
385,1996/06,2.3
386,1996/07,1.9
387,1996/08,0.5
388,1996/09,0.6
389,1996/10,0.7
390,1996/11,0.1
391,1996/12,1.3
392,1997/01,1.3
393,1997/02,2.0
394,1997/03,1.4
395,1997/04,1.6
396,1997/05,-0.2
397,1997/06,-0.3
398,1997/07,0.1
399,1997/08,0.6
400,1997/09,1.5
401,1997/10,1.4
402,1997/11,11.3
403,1997/12,44.7
404,1998/01,15.0
405,1998/02,-4.9
406,1998/03,-7.3
407,1998/04,-7.5
408,1998/05,0.2
409,1998/06,0.2
410,1998/07,-6.9
411,1998/08,0.2
412,1998/09,5.2
413,1998/10,-2.5
414,1998/11,-3.2
415,1998/12,-6.2
416,1999/01,-3.0
417,1999/02,0.8
418,1999/03,3.6
419,1999/04,-1.6
420,1999/05,-1.0
421,1999/06,-2.3
422,1999/07,1.4
423,1999/08,1.2
424,1999/09,-0.2
425,1999/10,0.8
426,1999/11,-2.4
427,1999/12,-3.3
428,2000/01,-0.6
429,2000/02,-0.2
430,2000/03,-1.0
431,2000/04,-0.7
432,2000/05,0.9
433,2000/06,-0.1
434,2000/07,-0.3
435,2000/08,0.0
436,2000/09,0.2
437,2000/10,1.0
438,2000/11,2.1
439,2000/12,5.5
440,2001/01,4.8
441,2001/02,-1.6
442,2001/03,2.9
443,2001/04,2.9
444,2001/05,-2.0
445,2001/06,-0.4
446,2001/07,0.7
447,2001/08,-1.3
448,2001/09,0.6
449,2001/10,0.7
450,2001/11,-1.4
451,2001/12,0.4
452,2002/01,2.2
453,2002/02,0.1
454,2002/03,0.3
455,2002/04,-0.3
456,2002/05,-4.0
457,2002/06,-3.4
458,2002/07,-3.1
459,2002/08,0.9
460,2002/09,1.0
461,2002/10,2.7
462,2002/11,-2.4
463,2002/12,-0.2
464,2003/01,-2.5
465,2003/02,1.0
466,2003/03,3.5
467,2003/04,0.0
468,2003/05,-2.7
469,2003/06,-0.5
470,2003/07,-1.0
471,2003/08,-0.3
472,2003/09,-1.0
473,2003/10,0.0
474,2003/11,1.6
475,2003/12,0.7
476,2004/01,-0.7
477,2004/02,-1.5
478,2004/03,0.0
479,2004/04,-1.3
480,2004/05,2.3
481,2004/06,-1.6
482,2004/07,-0.1
483,2004/08,0.1
484,2004/09,-1.0
485,2004/10,-0.3
486,2004/11,-4.6
487,2004/12,-3.7
488,2005/01,-1.2
489,2005/02,-1.5
490,2005/03,-1.5
491,2005/04,0.3
492,2005/05,-0.9
493,2005/06,0.9
494,2005/07,2.6
495,2005/08,-1.6
496,2005/09,0.8
497,2005/10,1.6
498,2005/11,-0.5
499,2005/12,-1.7
500,2006/01,-3.6
501,2006/02,-1.7
502,2006/03,0.5
503,2006/04,-2.1
504,2006/05,-1.4
505,2006/06,1.5
506,2006/07,-0.5
507,2006/08,1.1
508,2006/09,-0.7
509,2006/10,0.1
510,2006/11,-1.9
511,2006/12,-1.1
512,2007/01,1.1
513,2007/02,0.1
514,2007/03,0.7
515,2007/04,-1.2
516,2007/05,-0.4
517,2007/06,0.0
518,2007/07,-1.0
519,2007/08,1.6
520,2007/09,-0.1
521,2007/10,-1.8
522,2007/11,0.1
523,2007/12,1.4
524,2008/01,1.3
525,2008/02,0.2
526,2008/03,3.7
527,2008/04,0.7
528,2008/05,5.1
529,2008/06,-0.7
530,2008/07,-1.0
531,2008/08,2.2
532,2008/09,8.5
533,2008/10,17.4
534,2008/11,4.8
535,2008/12,-1.2
536,2009/01,-2.0
537,2009/02,6.2
538,2009/03,2.3
539,2009/04,-8.2
540,2009/05,-6.2
541,2009/06,0.2
542,2009/07,0.2
543,2009/08,-2.0
544,2009/09,-1.6
545,2009/10,-3.6
546,2009/11,-0.9
547,2009/12,0.2
548,2010/01,-2.4
549,2010/02,1.6
550,2010/03,-1.7
551,2010/04,-1.8
552,2010/05,4.1
553,2010/06,4.2
554,2010/07,-0.4
555,2010/08,-2.3
556,2010/09,-1.1
557,2010/10,-3.7
558,2010/11,0.2
559,2010/12,1.9
560,2011/01,-2.4
561,2011/02,-0.2
562,2011/03,0.4
563,2011/04,-3.2
564,2011/05,-0.3
565,2011/06,-0.2
566,2011/07,-2.0
567,2011/08,1.3
568,2011/09,4.2
569,2011/10,3.3
570,2011/11,-2.0
571,2011/12,1.3
572,2012/01,-0.1
573,2012/02,-2.0
574,2012/03,0.2
575,2012/04,0.9
576,2012/05,1.6
577,2012/06,1.0
578,2012/07,-1.9
579,2012/08,-1.0
580,2012/09,-0.6
581,2012/10,-1.6
582,2012/11,-1.8
583,2012/12,-1.0
584,2013/01,-1.1
585,2013/02,2.0
586,2013/03,1.4
587,2013/04,1.8
588,2013/05,-1.0
589,2013/06,2.2
590,2013/07,-0.7
591,2013/08,-0.9
592,2013/09,-2.7
593,2013/10,-1.9
594,2013/11,-0.4
595,2013/12,-0.6
596,2014/01,0.8
597,2014/02,0.6
598,2014/03,0.0
599,2014/04,-2.5
600,2014/05,-1.9
601,2014/06,-0.5
602,2014/07,0.1
603,2014/08,0.5
604,2014/09,0.8
605,2014/10,2.6
606,2014/11,3.3
607,2014/12,0.8
608,2015/01,-1.4
609,2015/02,0.9
610,2015/03,1.3
611,2015/04,-2.1
612,2015/05,0.2
613,2015/06,1.9
614,2015/07,2.8
615,2015/08,3.1
616,2015/09,0.5
617,2015/10,-3.1
