,변환,전기대비증감률
707,2023/12,0.1
708,2024/01,0.5
709,2024/02,0.3
710,2024/03,0.2
711,2024/04,0.3
712,2024/05,0.1
713,2024/06,0.0
714,2024/07,0.3
715,2024/08,-0.2
716,2024/09,-0.2
